
> inf4375@0.0.0 start C:\Users\Gabriel\Documents\Projets\ecole\INF4375
> node ./bin/www

info: cron task : fetching
info: dropping table isntallations
connecting to mongodb
info: fecthing pools
ID_UEV,TYPE,NOM,ARRONDISSE,ADRESSE,PROPRIETE,GESTION,POINT_X,POINT_Y,EQUIPEME,LONG,LAT
3114253,Piscine intérieure,Complexe sportif Claude-Robillard,Ahuntsic-Cartierville,"1 000, Avenue Émile-Journeault Est",Municipale,Municipale,"294151,2717",5045855457,Complexe aquatique,-73.63639,45.552526
5015454,Pataugeoire,Saint-Jean-Baptiste,Rivière-des-Prairies–Pointe-aux-Trembles,"1 048, Boulevard Saint-Jean-Baptiste",Municipale,Municipale,"304846,2071","5055625,72",,-73.49941,45.640521
1020721,Piscine intérieure,Centre sportif St-Charles,Le Sud-Ouest,"1 055, Rue Hibernia",Municipale,Municipale,"299867,9341",5037766346,Piscine récréative,-73.563099,45.479802
1050716,Jeu d'eau,Parc Normand Dawe,Verdun,"1 060, Rue Woodland",Municipale,Municipale,"298647,5623",5034733453,,-73.578667,45.4525
4030363,Jeu d'eau,Parc Beaulac,Saint-Laurent,"1 145, Rue Élizabeth",Municipale,Municipale,"290934,0231",5042211675,,-73.677489,45.51968
1050247,Jeu d'eau,Parc Cooney,Verdun,"1 175, Rue Melrose",Municipale,Municipale,"298518,4184",5034953364,,-73.580319,45.454479
5066716,Jeu d'eau,Parc Harris,Saint-Laurent,"1 365, Avenue O’Brien",Municipale,Municipale,"290338,3295",5042146839,,-73.685116,45.519083
4039115,Piscine extérieure,Parc Ouellette (natation et récréatif),LaSalle,"1 407, Rue Serre",Municipale,Privé,"295254,0967",5032569894,,-73.622005,45.432989
4156343,Piscine intérieure,L’Aquadôme LaSalle,LaSalle,"1 411, Rue Lapierre",Municipale,Privé,"296335,6987",5032962552,Complexe aquatique,-73.608196,45.43654
1027502,Pataugeoire,Parc La Fontaine ouest,Le Plateau-Mont-Royal,"1 450, Rue Rachel Est",Municipale,Municipale,"299382,7103","5042884,97",,-73.56936,45.525852
5016554,Piscine extérieure,Parc Hartenstein,Saint-Laurent,"1 505, Rue Cardinal",Municipale,Municipale,"289936,1662",5042046109,,-73.690259,45.518174
5016554,Pataugeoire,Parc Hartenstein,Saint-Laurent,"1 505, Rue Cardinal",Municipale,Municipale,"289849,7238",5042125157,,-73.691375,45.518883
5016554,Jeu d'eau,Parc Hartenstein,Saint-Laurent,"1 505, Rue Cardinal",Municipale,Municipale,"289888,1774",5041938969,,-73.69087,45.517202
1018523,Piscine intérieure,Bain Quintal,Ville-Marie,"1 550, Rue Dufresne",Municipale,Municipale,"300975,7246",5043217592,Piscine récréative,-73.548969,45.52886
3069220,Pataugeoire,Parc Père-Marquette,Rosemont–La Petite-Patrie,"1 555, Rue des Carrières",Municipale,Municipale,"297740,6679",5044324939,,-73.590401,45.538795
5103407,Piscine intérieure,Centre sportif Père-Marquette,Rosemont–La Petite-Patrie,"1 600, Rue Drucourt",Municipale,Municipale,"298337,0379",5045796851,Piscine récréative,-73.582776,45.552047
2064425,Pataugeoire,Parc St-Aloysius,Mercier–Hochelaga-Maisonneuve,"1 650, Avenue Valois",Municipale,Municipale,"301628,1089",5045103194,,-73.540621,45.545834
1116730,Jeu d'eau,Parc de La Reine Élizabeth,Verdun,"1 650, Rue Crawford",Municipale,Municipale,"297575,3881",5033164482,,-73.592349,45.438371
5071428,Pataugeoire,Parc des Vétérans,Ville-Marie,"1 655, Avenue Papineau",Municipale,Municipale,"300488,5129",5042717424,,-73.5552,45.524357
3021351,Piscine extérieure,Marcelin-Wilson,Ahuntsic-Cartierville,"1 655, Rue Dudemaine, H3M 1R2",Municipale,Municipale,"290413,3232",5044137201,,-73.684215,45.537
4099482,Jeu d'eau,Parc Goulet,Saint-Laurent,"1 695, Rue d’Oxford",Municipale,Municipale,"289041,7102",5042480411,,-73.701729,45.52206
5061272,Piscine extérieure,Port de Plaisance,Lachine,"1 800, Chemin des Iroquois",Municipale,OBNL,"290986,3256",5032227781,,-73.676543,45.42984
5006029,Piscine intérieure,Centre sportif Petite-Bourgogne,Le Sud-Ouest,"1 825, Rue Notre-Dame Ouest",Municipale,OBNL,"299389,6801",5038717468,Piscine récréative,-73.569224,45.488356
5056523,Piscine extérieure,Parc Duff-Court,Lachine,"1 830, Croissant Roy",Municipale,Municipale,"290670,4398",5034129795,,-73.680636,45.446949
5056523,Pataugeoire,Parc Duff-Court,Lachine,"1 830, Croissant Roy",Municipale,Municipale,"290670,4398",5034129795,,-73.680636,45.446949
2051168,Jeu d'eau,Parc Beauclerk,Mercier–Hochelaga-Maisonneuve,"1 855, Avenue Émile-Legrand",Municipale,Municipale,"303213,3204",5049008241,,-73.520336,45.580978
2020120,Pataugeoire,Parc St-Clément,Mercier–Hochelaga-Maisonneuve,"1 855, Rue de Ville-Marie",Municipale,Municipale,302173727,5046691598,,-73.533651,45.560125
